ID;Year;Winners;Score;Runners-up
0;1930;Uruguay;4–2;Argentina
1;1934;Italy;2–1;Czechoslovakia
2;1938;Italy;4–2;Hungary
3;1950;Uruguay;2–1;Brazil
4;1954;Germany;3–2;Hungary
5;1958;Brazil;5–2;Sweden
6;1962;Brazil;3–1;Czechoslovakia
7;1966;England;4–2;Germany
8;1970;Brazil;4–1;Italy
9;1974;Germany;2–1;Netherlands
10;1978;Argentina;3–1;Netherlands
11;1982;Italy;3–1;Germany
12;1986;Argentina;3–2;Germany
13;1990;Germany;1–0;Argentina
14;1994;Brazil;0–0;Italy
15;1998;France;3–0;Brazil
16;2002;Brazil;2–0;Germany
17;2006;Italy;1–1;France
18;2010;Spain;1–0;Netherlands
19;2014;Germany;1–0;Argentina
20;2018;France;4–2;Croatia
21;2022;Argentina;3–3;France
